,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
exkey,M2nM1n,M3nM1n,M4nM1n,M3nM2n,M4nM2n,M4nM3n,M1nM1m,M2nM1m,M3nM1m,M4nM1m,M1nM2m,M2nM2m,M3nM2m,M4nM2m,M1nM3m,M2nM3m,M3nM3m,M4nM3m,M1nM4m,M2nM4m,M3nM4m,M4nM4m,M1nM1n+1,M2nM1n+1,M3nM1n+1,M4nM1n+1,M1nM2n+1,M2nM2n+1,M3nM2n+1,M4nM2n+1,M1nM3n+1,M2nM3n+1,M3nM3n+1,M4nM3n+1,M1nM4n+1,M2nM4n+1,M3nM4n+1,M4nM4n+1
P1factor,q^2,q,1,q^2,q^2,q^2,v^2{(-1)^{n-m}},v^2{(-1)^{n-m}},1,v^2{(-1)^{n-m+1}},v^2{(-1)^{n-m}},v^4{(-1)^{n-m}},v^2{(-1)^{n-m}},1,1,v^2{(-1)^{n-m}},v^2{(-1)^{n-m}},v^2{(-1)^{n-m}},v^2{(-1)^{n-m+1}},1,v^2{(-1)^{n-m+1}},v^4{(-1)^{n-m}},v^{-2},v^{-4},v^{-1},v^{2},1,v^{-4},v^{-2},1,v^{2},1,v^{-2},v^{-2},v^{4},v^{4},1,v^{-4}
P1item1m,M1,M1,M1,M2,M2,M3,M1,M1,M1,M1,M2,M2,M2,M2,M3,M3,M3,M3,M4,M4,M4,M4,M1,M1,M1,M1,M2,M2,M2,M2,M3,M3,M3,M3,M4,M4,M4,M4
P1item1n,n,n,n,n,n,n,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1,n+1
P1item2m,M2,M3,M4,M3,M4,M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3,M4
P1item2n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
P2factor,,(q+1),1,,(/frac{q-1}{q^{-1}+1)},,,,,,,,,,,,,,,,,,/frac{1}{v^2-1},v^{-2},v^{-1}(v^2+1),,,/frac{1}{v^4-1},v^{-2},/frac{v^2-1}{v^2+1},,,/frac{1}{v^2-1},v^{-2},,,,/frac{1}{v^4-1}
P2item1m,,M2,M3,,M3,,,,,,,,,,,,,,,,,,,M3,M3,,,,M1,M1,,,,M1,,,,
P2item1n,,n,n,,n,,,,,,,,,,,,,,,,,,,n,n,,,,n+1,n+1,,,,n+1,,,,
P2item2m,,,,,M3,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,
P2item2n,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,n+1,,,,,,,,
